Itemid,Judgement
001-61228,violation
001-61231,violation
001-107713,violation
001-107589,violation
001-99784,violation
001-99750,violation
001-99826,violation
001-99832,violation
001-99828,violation
001-193251,violation
001-193250,violation
001-193260,violation
001-193069,violation
001-193078,violation
001-193079,violation
001-192985,violation
001-91302,violation
001-83478,violation
001-83273,violation
001-83294,violation
001-60824,violation
001-160313,violation
001-159791,violation
001-173490,violation
001-173472,violation
001-118332,violation
001-118276,violation
001-145359,violation
001-145223,violation
001-145215,violation
001-145017,violation
001-145005,violation
001-144997,violation
001-58072,violation
001-58073,violation
001-151056,violation
001-150675,violation
001-150800,violation
001-150234,violation
001-150299,violation
001-150704,violation
001-150298,violation
001-150216,violation
001-127229,violation
001-127539,violation
001-67538,violation
001-67478,violation
001-67482,violation
001-67401,violation
001-67346,violation
001-76412,violation
001-76696,violation
001-76684,violation
001-76627,violation
001-76631,violation
001-84271,violation
001-84289,violation
001-84293,violation
001-84106,violation
001-83992,violation
001-92137,violation
001-92069,violation
001-92169,violation
001-92147,violation
001-91704,violation
001-91993,violation
001-91802,violation
001-194316,violation
001-194317,violation
001-194247,violation
001-194058,violation
001-98882,violation
001-98552,violation
001-98825,violation
001-98829,violation
001-106797,violation
001-106968,violation
001-106785,violation
001-179228,violation
001-179216,violation
001-178904,violation
001-178952,violation
001-178699,violation
001-178747,violation
001-178750,violation
001-166685,violation
001-61334,violation
001-61546,violation
001-61454,violation
001-59621,violation
001-60733,violation
001-60703,violation
001-60696,violation
001-60695,violation
001-60697,violation
001-59160,violation
001-58586,violation
001-175007,violation
001-174420,violation
001-174411,violation
001-174392,violation
001-161379,violation
001-161376,violation
001-161380,violation
001-161002,violation
001-119968,violation
001-119957,violation
001-119681,violation
001-119703,violation
001-58162,violation
001-58144,violation
001-57934,violation
001-57767,violation
001-57771,violation
001-57770,violation
001-97597,violation
001-89813,violation
001-89621,violation
001-89623,violation
001-114658,violation
001-114439,violation
001-114491,violation
001-114517,violation
001-114514,violation
001-114520,violation
001-114452,violation
001-114513,violation
001-204666,violation
001-106257,violation
001-106171,violation
001-157536,violation
001-157531,violation
001-157528,violation
001-170362,violation
001-170390,violation
001-170391,violation
001-170343,violation
001-57881,violation
001-188991,violation
001-188993,violation
001-188364,violation
001-188374,violation
001-188382,violation
001-82173,violation
001-82179,violation
001-81731,violation
001-81914,violation
001-72354,violation
001-72205,violation
001-79583,violation
001-79344,violation
001-183539,violation
001-183543,violation
001-183373,violation
001-183387,violation
001-183687,violation
001-183685,violation
001-183296,violation
001-94967,violation
001-86877,violation
001-86875,violation
001-86611,violation
001-110812,violation
001-110449,violation
001-110499,violation
001-110452,violation
001-110440,violation
001-102846,violation
001-102443,violation
001-102254,violation
001-102425,violation
001-201754,violation
001-201756,violation
001-201647,violation
001-201648,violation
001-57547,violation
001-57438,violation
001-57575,violation
001-189591,violation
001-189424,violation
001-189096,violation
001-71983,violation
001-72207,violation
001-81688,violation
001-81328,violation
001-58033,violation
001-169661,violation
001-169662,violation
001-157346,violation
001-156518,violation
001-57753,violation
001-57712,violation
001-89607,violation
001-89410,violation
001-89283,violation
001-89287,violation
001-97333,violation
001-97292,violation
001-97218,violation
001-97060,violation
001-106427,violation
001-106282,violation
001-205146,violation
001-204995,violation
001-204994,violation
001-204826,violation
001-204851,violation
001-115395,violation
001-115315,violation
001-115167,violation
001-115007,violation
001-115012,violation
001-114767,violation
001-87567,violation
001-87207,violation
001-87221,violation
001-95327,violation
001-94985,violation
001-201338,violation
001-201326,violation
001-201350,violation
001-201533,violation
001-201092,violation
001-201346,violation
001-200816,violation
001-200817,violation
001-200710,violation
001-200719,violation
001-200436,violation
001-101978,violation
001-101945,violation
001-101815,violation
001-109868,violation
001-109741,violation
001-57491,violation
001-70520,violation
001-70132,violation
001-79769,violation
001-183125,violation
001-182868,violation
001-182876,violation
001-182852,violation
001-182859,violation
001-182448,violation
001-182452,violation
001-182455,violation
001-182595,violation
001-164923,violation
001-165262,violation
001-178342,violation
001-178343,violation
001-178344,violation
001-178346,violation
001-178362,violation
001-178351,violation
001-59718,violation
001-61589,violation
001-61548,violation
001-61560,violation
001-61521,violation
001-91608,violation
001-91726,violation
001-83824,violation
001-83817,violation
001-83828,violation
001-83747,violation
001-107303,violation
001-107196,violation
001-99176,violation
001-195572,violation
001-194735,violation
001-194857,violation
001-194444,violation
001-75890,violation
001-75997,violation
001-75688,violation
001-76114,violation
001-75591,violation
001-75826,violation
001-75454,violation
001-67472,violation
001-67150,violation
001-58062,violation
001-58360,violation
001-58408,violation
001-58407,violation
001-127055,violation
001-148629,violation
001-149016,violation
001-121906,violation
001-120959,violation
001-120951,violation
001-120071,violation
001-146404,violation
001-146393,violation
001-146386,violation
001-146379,violation
001-146357,violation
001-205796,violation
001-206155,violation
001-205533,violation
001-205378,violation
001-58739,violation
001-58841,violation
001-58838,violation
001-60642,violation
001-60596,violation
001-161983,violation
001-161760,violation
001-161733,violation
001-175669,violation
001-175464,violation
001-175481,violation
001-175482,violation
001-175153,violation
001-175140,violation
001-175142,violation
001-193878,violation
001-193608,violation
001-193614,violation
001-193470,violation
001-193746,violation
001-99817,violation
001-99883,violation
001-100042,violation
001-99915,violation
001-108031,violation
001-107888,violation
001-83083,violation
001-82962,violation
001-90627,violation
001-90710,violation
001-90722,violation
001-90967,violation
001-90969,violation
001-90973,violation
001-90975,violation
001-90977,violation
001-90979,violation
001-90617,violation
001-90798,violation
001-179547,violation
001-179427,violation
001-179404,violation
001-61415,violation
001-59456,violation
001-152598,violation
001-150999,violation
001-151037,violation
001-150781,violation
001-150788,violation
001-128053,violation
001-128198,violation
001-127814,violation
001-127809,violation
001-127813,violation
001-127403,violation
001-61942,violation
001-61900,violation
001-75533,violation
001-73062,violation
001-145787,violation
001-146047,violation
001-146044,violation
001-145790,violation
001-145741,violation
001-145733,violation
001-145564,violation
001-145653,violation
001-145350,violation
001-145348,violation
001-118736,violation
001-119055,violation
001-119075,violation
001-118582,violation
001-118936,violation
001-58135,violation
001-60854,violation
001-60713,violation
001-60791,violation
001-60793,violation
001-58922,violation
001-174429,violation
001-174112,violation
001-174060,violation
001-173779,violation
001-173770,violation
001-173771,violation
001-173772,violation
001-173800,violation
001-173801,violation
001-161061,violation
001-161048,violation
001-160692,violation
001-58039,violation
001-188276,violation
001-188266,violation
001-187923,violation
001-187926,violation
001-187928,violation
001-187931,violation
001-187830,violation
001-82449,violation
001-82198,violation
001-72896,violation
001-114244,violation
001-114098,violation
001-105820,violation
001-105788,violation
001-105758,violation
001-105764,violation
001-105834,violation
001-98264,violation
001-98048,violation
001-97957,violation
001-97991,violation
001-97880,violation
001-90390,violation
001-90360,violation
001-89964,violation
001-90270,violation
001-89823,violation
001-89827,violation
001-156388,violation
001-155819,violation
001-156006,violation
001-155353,violation
001-155662,violation
001-168377,violation
001-168370,violation
001-168386,violation
001-167797,violation
001-110953,violation
001-102842,violation
001-102711,violation
001-199381,violation
001-199382,violation
001-199172,violation
001-199636,violation
001-198886,violation
001-198708,violation
001-199075,violation
001-94440,violation
001-94301,violation
001-94303,violation
001-94216,violation
001-94218,violation
001-94222,violation
001-94225,violation
001-94229,violation
001-94236,violation
001-94238,violation
001-93955,violation
001-86233,violation
001-86368,violation
001-86678,violation
001-86687,violation
001-86449,violation
001-86364,violation
001-86255,violation
001-86339,violation
001-57446,violation
001-79107,violation
001-79160,violation
001-78425,violation
001-69315,violation
001-183570,violation
001-183537,violation
001-140927,violation
001-154728,violation
001-182223,violation
001-182222,violation
001-182208,violation
001-182210,violation
001-182215,violation
001-181857,violation
001-57473,violation
001-59868,violation
001-61720,violation
001-61663,violation
001-163661,violation
001-163344,violation
001-177387,violation
001-177341,violation
001-177230,violation
001-158500,violation
001-171774,violation
001-171780,violation
001-171501,violation
001-61135,violation
001-61069,violation
001-61100,violation
001-123422,violation
001-122432,violation
001-122372,violation
001-122426,violation
001-122361,violation
001-147601,violation
001-147624,violation
001-147332,violation
001-147326,violation
001-147274,violation
001-88719,violation
001-96547,violation
001-104491,violation
001-103904,violation
001-203931,violation
001-203562,violation
001-203563,violation
001-203619,violation
001-203492,violation
001-203631,violation
001-112322,violation
001-112534,violation
001-112321,violation
001-112282,violation
001-112206,violation
001-57496,violation
001-57848,violation
001-60595,violation
001-60610,violation
001-60605,violation
001-58497,violation
001-58576,violation
001-115862,violation
001-115861,violation
001-115868,violation
001-115498,violation
001-115621,violation
001-71461,violation
001-71303,violation
001-70662,violation
001-71439,violation
001-80619,violation
001-191364,violation
001-191488,violation
001-191276,violation
001-187111,violation
001-186451,violation
001-186439,violation
001-68394,violation
001-77672,violation
001-77492,violation
001-77042,violation
001-57640,violation
001-84571,violation
001-85078,violation
001-92752,violation
001-92891,violation
001-195909,violation
001-101152,violation
001-100926,violation
001-109197,violation
001-109191,violation
001-109080,violation
001-109119,violation
001-58403,violation
001-58404,violation
001-113288,violation
001-113296,violation
001-113118,violation
001-113460,violation
001-202763,violation
001-202693,violation
001-202620,violation
001-202530,violation
001-202520,violation
001-105130,violation
001-104911,violation
001-104975,violation
001-104864,violation
001-104839,violation
001-95777,violation
001-95768,violation
001-87644,violation
001-87156,violation
001-87938,violation
001-87968,violation
001-87510,violation
001-57825,violation
001-80207,violation
001-79812,violation
001-80083,violation
001-79889,violation
001-70765,violation
001-70767,violation
001-70824,violation
001-192786,violation
001-192210,violation
001-192205,violation
001-116959,violation
001-116369,violation
001-116409,violation
001-116413,violation
001-144115,violation
001-185495,violation
001-185231,violation
001-77932,violation
001-77785,violation
001-78153,violation
001-77936,violation
001-68920,violation
001-108623,violation
001-108686,violation
001-108549,violation
001-108436,violation
001-108496,violation
001-100508,violation
001-100895,violation
001-100543,violation
001-100309,violation
001-198485,violation
001-197214,violation
001-196607,violation
001-196679,violation
001-196380,violation
001-93594,violation
001-93654,violation
001-93419,violation
001-93604,violation
001-93608,violation
001-93310,violation
001-93318,violation
001-85611,violation
001-181176,violation
001-181202,violation
001-180847,violation
001-180840,violation
001-180838,violation
001-153315,violation
001-153017,violation
001-139170,violation
001-138916,violation
001-61854,violation
001-61853,violation
001-61799,violation
001-61795,violation
001-177082,violation
001-175659,violation
001-162213,violation
001-162117,violation
001-57416,violation
001-57603,violation
001-57533,violation
001-57456,violation
001-173091,violation
001-172563,violation
001-159880,violation
001-159205,violation
001-159324,violation
001-60898,violation
001-60917,violation
001-60876,violation
001-60877,violation
001-57904,violation
001-148268,violation
001-162864,no-violation
001-176931,no-violation
001-140015,no-violation
001-153909,no-violation
001-153923,no-violation
001-57991,no-violation
001-57975,no-violation
001-58257,no-violation
001-180309,no-violation
001-57895,no-violation
001-58106,no-violation
001-58099,no-violation
001-58177,no-violation
001-147865,no-violation
001-172134,no-violation
001-60935,no-violation
001-144669,no-violation
001-144662,no-violation
001-144361,no-violation
001-144138,no-violation
001-117133,no-violation
001-70957,no-violation
001-70447,no-violation
001-80312,no-violation
001-192207,no-violation
001-191740,no-violation
001-104712,no-violation
001-57606,no-violation
001-57525,no-violation
001-60168,no-violation
001-57674,no-violation
001-81338,no-violation
001-71988,no-violation
001-70956,no-violation
001-142675,no-violation
001-142737,no-violation
001-142406,no-violation
001-142529,no-violation
001-60448,no-violation
001-96693,no-violation
001-88585,no-violation
001-111842,no-violation
001-111902,no-violation
001-111547,no-violation
001-203311,no-violation
001-103769,no-violation
001-57510,no-violation
001-92500,no-violation
001-84339,no-violation
001-109572,no-violation
001-109809,no-violation
001-109565,no-violation
001-109557,no-violation
001-109575,no-violation
001-101579,no-violation
001-101458,no-violation
001-101562,no-violation
001-187474,no-violation
001-187203,no-violation
001-187202,no-violation
001-61572,no-violation
001-177916,no-violation
001-178421,no-violation
001-177697,no-violation
001-163820,no-violation
001-181583,no-violation
001-181584,no-violation
001-57967,no-violation
001-58123,no-violation
001-121774,no-violation
001-170859,no-violation
001-170860,no-violation
001-170359,no-violation
001-158032,no-violation
001-157966,no-violation
001-61121,no-violation
001-59154,no-violation
001-59155,no-violation
001-59156,no-violation
001-59158,no-violation
001-59157,no-violation
001-59206,no-violation
001-168934,no-violation
001-168066,no-violation
001-105421,no-violation
001-105047,no-violation
001-113819,no-violation
001-90402,no-violation
001-90480,no-violation
001-187731,no-violation
001-82905,no-violation
001-185320,no-violation
001-184672,no-violation
001-184281,no-violation
001-206714,no-violation
001-102940,no-violation
001-111429,no-violation
001-57551,no-violation
001-57519,no-violation
001-57564,no-violation
001-75463,no-violation
001-57992,no-violation
001-138562,no-violation
001-128204,no-violation
001-166958,no-violation
001-166942,no-violation
001-180442,no-violation
001-61188,no-violation
001-107705,no-violation
001-107514,no-violation
001-107325,no-violation
001-99903,no-violation
001-99605,no-violation
001-99288,no-violation
001-91286,no-violation
001-58802,no-violation
001-60822,no-violation
001-160212,no-violation
001-159906,no-violation
001-173261,no-violation
001-145216,no-violation
001-145068,no-violation
001-58175,no-violation
001-58194,no-violation
001-58069,no-violation
001-84329,no-violation
001-194062,no-violation
001-194217,no-violation
001-98473,no-violation
001-98684,no-violation
001-98688,no-violation
001-178877,no-violation
001-59560,no-violation
001-58751,no-violation
001-58736,no-violation
001-161413,no-violation
001-58146,no-violation
001-57784,no-violation
001-114492,no-violation
001-114473,no-violation
001-114486,no-violation
001-170364,no-violation
001-170285,no-violation
001-170344,no-violation
001-170050,no-violation
001-58014,no-violation
001-188994,no-violation
001-188384,no-violation
001-188362,no-violation
001-81910,no-violation
001-79488,no-violation
001-79215,no-violation
001-110188,no-violation
001-201646,no-violation
001-57459,no-violation
001-189641,no-violation
001-189351,no-violation
001-72033,no-violation
001-72055,no-violation
001-72236,no-violation
001-72238,no-violation
001-72239,no-violation
001-72240,no-violation
001-72241,no-violation
001-72046,no-violation
001-58021,no-violation
001-58007,no-violation
001-169957,no-violation
001-157263,no-violation
001-89634,no-violation
001-106976,no-violation
001-106448,no-violation
001-106441,no-violation
001-205170,no-violation
001-115377,no-violation
001-115165,no-violation
001-115004,no-violation
001-115005,no-violation
001-200728,no-violation
001-200442,no-violation
001-102113,no-violation
001-102023,no-violation
001-101958,no-violation
001-101976,no-violation
001-110382,no-violation
001-110314,no-violation
001-110271,no-violation
001-109577,no-violation
001-109815,no-violation
001-57515,no-violation
001-79804,no-violation
001-79022,no-violation
001-182867,no-violation
001-182450,no-violation
001-164681,no-violation
001-164683,no-violation
001-91576,no-violation
001-83823,no-violation
001-83809,no-violation
001-83583,no-violation
001-107448,no-violation
001-107203,no-violation
001-99164,no-violation
001-99026,no-violation
001-99172,no-violation
001-98815,no-violation
001-67192,no-violation
001-58008,no-violation
001-58002,no-violation
001-58304,no-violation
001-126538,no-violation
001-126551,no-violation
001-148632,no-violation
001-146383,no-violation
001-58130,no-violation
001-206165,no-violation
001-60673,no-violation
001-161741,no-violation
001-161527,no-violation
001-175660,no-violation
001-174616,no-violation
001-174617,no-violation
001-193452,no-violation
001-99994,no-violation
001-100197,no-violation
001-108113,no-violation
001-90786,no-violation
001-179421,no-violation
001-166741,no-violation
001-58266,no-violation
001-58076,no-violation
001-58079,no-violation
001-152647,no-violation
001-152679,no-violation
001-127610,no-violation
001-61959,no-violation
001-73360,no-violation
001-145768,no-violation
001-145546,no-violation
001-145466,no-violation
001-145341,no-violation
001-58171,no-violation
001-60723,no-violation
001-60808,no-violation
001-59080,no-violation
001-173769,no-violation
001-160425,no-violation
001-160404,no-violation
001-160315,no-violation
001-58032,no-violation
001-188649,no-violation
001-82241,no-violation
001-72684,no-violation
001-90250,no-violation
001-155717,no-violation
001-110942,no-violation
001-110918,no-violation
001-110916,no-violation
001-102894,no-violation
001-103021,no-violation
001-199174,no-violation
001-78884,no-violation
001-69618,no-violation
001-183947,no-violation
001-183863,no-violation
001-140920,no-violation
001-58254,no-violation
001-58212,no-violation
001-182213,no-violation
001-57451,no-violation
001-57498,no-violation
001-163660,no-violation
001-177677,no-violation
001-177229,no-violation
001-171776,no-violation
001-61099,no-violation
001-61026,no-violation
001-122970,no-violation
001-122975,no-violation
001-122978,no-violation
001-122365,no-violation
001-147623,no-violation
001-147044,no-violation
001-88562,no-violation
001-96457,no-violation
001-104361,no-violation
001-203827,no-violation
001-203836,no-violation
001-203630,no-violation
001-112198,no-violation
001-57509,no-violation
001-58783,no-violation
001-141941,no-violation
001-141929,no-violation
001-115854,no-violation
001-71341,no-violation
001-70445,no-violation
001-80046,no-violation
001-186446,no-violation
001-76894,no-violation
001-57641,no-violation
001-101471,no-violation
001-109029,no-violation
001-109072,no-violation
001-109076,no-violation
001-58368,no-violation
001-113291,no-violation
001-202758,no-violation
001-202706,no-violation
001-104972,no-violation
001-95758,no-violation
001-88012,no-violation
001-57804,no-violation
001-192900,no-violation
001-192616,no-violation
001-116373,no-violation
001-185304,no-violation
001-185309,no-violation
001-77542,no-violation
001-69116,no-violation
001-69041,no-violation
001-108680,no-violation
001-108431,no-violation
001-100293,no-violation
001-197212,no-violation
001-197098,no-violation
001-85726,no-violation
001-181383,no-violation
001-181177,no-violation
001-181273,no-violation
001-153480,no-violation
001-153319,no-violation
001-61837,no-violation
001-60156,no-violation
001-177080,no-violation
001-162219,no-violation
001-57563,no-violation
001-173103,no-violation
001-159732,no-violation
001-159050,no-violation
001-159042,no-violation
001-60915,no-violation
001-57912,no-violation
